,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,drivers license,Olivia Rodrigo,10936609,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,DÁKITI,Bad Bunny,4094939,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,Blinding Lights,The Weeknd,3077933,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,Mood (feat. iann dior),24kGoldn,3068995,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,BICHOTA,KAROL G,2941288,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,positions,Ariana Grande,2753860,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
7,Good Days,SZA,2620826,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
8,Anyone,Justin Bieber,2525113,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
9,WITHOUT YOU,The Kid LAROI,2510068,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
10,Whoopty,CJ,2440237,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
11,LA NOCHE DE ANOCHE,Bad Bunny,2388286,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
12,Dynamite,BTS,2357586,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
13,Lemonade (feat. Gunna Don Toliver & NAV),Internet Money,2336575,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
14,Bandido,Myke Towers,2322765,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
15,Save Your Tears,The Weeknd,2240051,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
16,Levitating (feat. DaBaby),Dua Lipa,2199700,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,Hecha Pa' Mi,Boza,2152420,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
18,34+35,Ariana Grande,2119848,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,Therefore I Am,Billie Eilish,2034469,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
20,you broke me first,Tate McRae,1958676,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,What You Know Bout Love,Pop Smoke,1947062,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,34+35 Remix (feat. Doja Cat Megan Thee Stallion) - Remix,Ariana Grande,1943958,https://open.spotify.com/track/3jjBPF4NDMCU51psU8JPpR
23,The Business,Tiësto,1825949,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
24,Bad Boy (with Young Thug),Juice WRLD,1802517,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
25,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,1783405,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
26,Hawái,Maluma,1774490,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
27,WAP (feat. Megan Thee Stallion),Cardi B,1721262,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
28,Watermelon Sugar,Harry Styles,1662688,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
29,Reloj,Rauw Alejandro,1647911,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
30,Someone You Loved,Lewis Capaldi,1647802,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,HOLIDAY,Lil Nas X,1643754,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
32,Prisoner (feat. Dua Lipa),Miley Cyrus,1621451,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
33,Lonely (with benny blanco),Justin Bieber,1620860,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
34,willow,Taylor Swift,1584019,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
35,Snowman,Sia,1571323,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
36,Head & Heart (feat. MNEK),Joel Corry,1563987,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
37,Afterglow,Ed Sheeran,1547990,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
38,Paradise (feat. Dermot Kennedy),MEDUZA,1545927,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
39,La Nota,Manuel Turizo,1527061,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
40,ROCKSTAR (feat. Roddy Ricch),DaBaby,1522190,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
41,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1502881,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
42,Heather,Conan Gray,1502326,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
43,Dance Monkey,Tones And I,1476434,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
44,Sweater Weather,The Neighbourhood,1450346,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
45,Roses - Imanbek Remix,SAINt JHN,1423148,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
46,Chica Ideal,Sebastian Yatra,1375828,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
47,Don't Start Now,Dua Lipa,1336162,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
48,Streets,Doja Cat,1323996,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
49,BEBÉ,Camilo,1314358,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
50,Before You Go,Lewis Capaldi,1302424,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
51,Relación - Remix,Sech,1266355,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
52,Vibez,ZAYN,1234340,https://open.spotify.com/track/6T6D9CIrHkALcHPafDFA6L
53,Goosebumps,HVME,1231380,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
54,GIRL LIKE ME,Black Eyed Peas,1221805,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
55,TE MUDASTE,Bad Bunny,1209641,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
56,La Tóxica,Farruko,1191778,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
57,Vida de Rico,Camilo,1184170,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
58,Laugh Now Cry Later (feat. Lil Durk),Drake,1145980,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
