Date,Home Team,Home Conference,Home Division,Home Score,Visitor Team,Visitor Conference,Visitor Division,Visitor Score,Post Season,Season
1991-01-21,Indiana Pacers,East,Central,114,Los Angeles Lakers,West,Pacific,120,FALSE,1990
1991-01-21,Washington Wizards,East,Southeast,121,Orlando Magic,East,Southeast,119,FALSE,1990
1991-01-22,Atlanta Hawks,East,Southeast,118,Miami Heat,East,Southeast,107,FALSE,1990
1991-01-22,Portland Trail Blazers,West,Northwest,123,Phoenix Suns,West,Pacific,116,FALSE,1990
1991-01-23,Boston Celtics,East,Atlantic,111,Detroit Pistons,East,Central,94,FALSE,1990
1991-01-23,Sacramento Kings,West,Pacific,95,Milwaukee Bucks,East,Central,91,FALSE,1990
1991-01-24,Charlotte Hornets,East,Southeast,93,Los Angeles Lakers,West,Pacific,113,FALSE,1990
1991-01-25,Phoenix Suns,West,Pacific,128,Oklahoma City Thunder,West,Northwest,113,FALSE,1990
1991-01-25,Golden State Warriors,West,Pacific,127,Milwaukee Bucks,East,Central,98,FALSE,1990
1991-01-26,Houston Rockets,West,Southwest,103,Cleveland Cavaliers,East,Central,97,FALSE,1990
1991-01-26,Charlotte Hornets,East,Southeast,79,Philadelphia 76ers,East,Atlantic,75,FALSE,1990
1991-01-29,Los Angeles Lakers,West,Pacific,110,Brooklyn Nets,East,Atlantic,89,FALSE,1990
1991-03-21,Golden State Warriors,West,Pacific,136,Denver Nuggets,West,Northwest,116,FALSE,1990
1991-03-22,Los Angeles Lakers,West,Pacific,92,Milwaukee Bucks,East,Central,99,FALSE,1990
1991-03-23,Orlando Magic,East,Southeast,105,Dallas Mavericks,West,Southwest,93,FALSE,1990
1991-04-03,Houston Rockets,West,Southwest,102,Dallas Mavericks,West,Southwest,86,FALSE,1990
1991-04-04,Phoenix Suns,West,Pacific,98,Los Angeles Lakers,West,Pacific,102,FALSE,1990
1991-04-05,Detroit Pistons,East,Central,101,Minnesota Timberwolves,West,Northwest,82,FALSE,1990
1991-11-08,San Antonio Spurs,West,Southwest,107,Cleveland Cavaliers,East,Central,101,FALSE,1991
1991-11-09,Oklahoma City Thunder,West,Northwest,118,Indiana Pacers,East,Central,111,FALSE,1991
1991-12-17,Oklahoma City Thunder,West,Northwest,116,LA Clippers,West,Pacific,99,FALSE,1991
1991-12-21,Minnesota Timberwolves,West,Northwest,87,LA Clippers,West,Pacific,100,FALSE,1991
1992-04-15,Atlanta Hawks,East,Southeast,95,New York Knicks,East,Atlantic,94,FALSE,1991
1992-04-16,LA Clippers,West,Pacific,96,Minnesota Timberwolves,West,Northwest,93,FALSE,1991
1992-04-17,Oklahoma City Thunder,West,Northwest,130,Sacramento Kings,West,Pacific,106,FALSE,1991
1992-04-19,Cleveland Cavaliers,East,Central,112,Atlanta Hawks,East,Southeast,108,FALSE,1991
1992-11-06,Boston Celtics,East,Atlantic,113,Minnesota Timberwolves,West,Northwest,92,FALSE,1992
